"corpusid","externalids","url","title","authors","venue","publicationvenueid","year","referencecount","citationcount","influentialcitationcount","isopenaccess","s2fieldsofstudy","publicationtypes","publicationdate","journal","corpusid"
"49864692","{acl=null, dblp=null, arxiv=null, mag=2808905908, corpusid=49864692, pubmed=30018796, doi=10.1136/rmdopen-2017-000533, pubmedcentral=6045702}","https://www.semanticscholar.org/paper/0de2049f874fbf6ab3e3ed89e1bdb2b3c8e99351","Haematopoietic stem cell transplantation in systemic sclerosis","[{authorid=4606556, name=U. Walker}, {authorid=6729809, name=L. Saketkoo}, {authorid=4580511, name=O. Distler}]","RMD Open","d39ab6aa-0617-43cd-9c04-b4be46354f06","2018","51","37","6","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle]","2018-06-01","{name=RMD Open, pages=null, volume=4}","49864692"
"12176355","{acl=null, dblp=null, arxiv=null, mag=2311314727, corpusid=12176355, pubmed=27010993, doi=10.1371/journal.pone.0152144, pubmedcentral=4806999}","https://www.semanticscholar.org/paper/115ced921bb642da2eb2be294c9df706b16be9a5","Structured Modeling and Analysis of Stochastic Epidemics with Immigration and Demographic Effects","[{authorid=33019780, name=Hendrik Baumann}, {authorid=1939396, name=W. Sandmann}]","PLoS ONE","0aed7a40-85f3-4c66-9e1b-c1556c57001b","2016","36","9","1","true","[{category=Mathematics, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Computer Science, source=external}, {category=Medicine, source=external}]","[JournalArticle]","2016-03-24","{name=PLoS ONE, pages=null, volume=11}","12176355"
"54480637","{acl=null, dblp=null, arxiv=null, mag=2903788720, corpusid=54480637, pubmed=30531125, doi=10.2116/analsci.18N023, pubmedcentral=null}","https://www.semanticscholar.org/paper/6562735087906277238847bb68c7d2bd87aa8a92","Direct Temperature-Swing Extraction of Rare-Earth Elements from Acidic Solution Using the Hydrophobic Interactions of Poly(N-isopropylacrylamide) with Diglycolamide-typed Ligands","[{authorid=52226584, name=Kaname Saga}, {authorid=2111480600, name=Hideya Suzuki}, {authorid=14134949, name=T. Matsumura}, {authorid=13038816, name=Takehiko Tsukahara}]","Analytical Sciences","5ca77533-29f8-48aa-bc16-1432a35ad9c1","2018","4","2","1","true","[{category=Chemistry, source=s2-fos-model}, {category=Materials Science, source=s2-fos-model}, {category=Chemistry, source=external}, {category=Medicine, source=external}]","[JournalArticle]","2018-12-07","{name=Analytical Sciences, pages=461-464, volume=35}","54480637"
"3746748","{acl=null, dblp=null, arxiv=null, mag=2591753486, corpusid=3746748, pubmed=28280064, doi=10.1503/cmaj.151043, pubmedcentral=null}","https://www.semanticscholar.org/paper/72951192de68a59c9f95903f209cfc54e950d4a6","Cardiac syncope in a woman with undiagnosed celiac disease","[{authorid=2801415, name=L. Samy}, {authorid=2418483, name=A. Barkun}, {authorid=2059202, name=T. Huynh}]","Canadian Medical Association Journal",,"2017","14","4","0","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[JournalArticle, CaseReport]","2017-03-06","{name=Canadian Medical Association Journal, pages=E365 - E367, volume=189}","3746748"
"15880790","{acl=null, dblp=null, arxiv=null, mag=1985008482, corpusid=15880790, pubmed=24229326, doi=10.1186/1741-7015-11-205, pubmedcentral=3847236}","https://www.semanticscholar.org/paper/ade33cb9591964ecb18caf32c4aaeb27e84464a9","Myalgic encephalomyelitis/chronic fatigue syndrome and encephalomyelitis disseminata/multiple sclerosis show remarkable levels of similarity in phenomenology and neuroimmune characteristics","[{authorid=38700182, name=G. Morris}, {authorid=81989624, name=M. Maes}]","BMC Medicine","70337d1b-fdf7-4fcb-b391-e096feba3748","2013","368","118","5","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}]","[Review, JournalArticle]","2013-09-17","{name=BMC Medicine, pages=205 - 205, volume=11}","15880790"
"18419911","{acl=null, dblp=null, arxiv=null, mag=2015142370, corpusid=18419911, pubmed=25710006, doi=10.1155/2015/534738, pubmedcentral=4332760}","https://www.semanticscholar.org/paper/92be9538ae2a40ce51c706071d20225bc03f19da","Locus of Enterocyte Effacement: A Pathogenicity Island Involved in the Virulence of Enteropathogenic and Enterohemorragic Escherichia coli Subjected to a Complex Network of Gene Regulation","[{authorid=50226197, name=F. Franzin}, {authorid=5153077, name=M. Sircili}]","BioMed Research International","c52375db-5573-406f-a12b-854c7ba98498","2015","84","98","3","true","[{category=Biology, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Biology, source=external}, {category=Medicine, source=external}]","[Review, JournalArticle]","2015-02-02","{name=BioMed Research International, pages=null, volume=2015}","18419911"
"2402943","{acl=null, dblp=null, arxiv=null, mag=2750963000, corpusid=2402943, pubmed=28886102, doi=10.1371/journal.pone.0184043, pubmedcentral=5590873}","https://www.semanticscholar.org/paper/1c1588da7e1e493e37b7507a45770d53ef20ad0e","Three-dimensional friction measurement during hip simulation","[{authorid=145043277, name=R. Sonntag}, {authorid=145938021, name=Steffen Braun}, {authorid=1417222438, name=L. Al-Salehi}, {authorid=2287524, name=J. Reinders}, {authorid=49128798, name=U. Mueller}, {authorid=2205885889, name=J. P. Kretzer}]","PLoS ONE","0aed7a40-85f3-4c66-9e1b-c1556c57001b","2017","44","17","1","true","[{category=Engineering, source=s2-fos-model}, {category=Medicine, source=s2-fos-model}, {category=Materials Science, source=external}, {category=Medicine, source=external}]","[JournalArticle]","2017-09-08","{name=PLoS ONE, pages=null, volume=12}","2402943"
"15317167","{acl=null, dblp=null, arxiv=1507.02924, mag=3097987364, corpusid=15317167, pubmed=26473534, doi=10.1088/0034-4885/78/11/116901, pubmedcentral=null}","https://www.semanticscholar.org/paper/9ea7522d893f53263ce6ddf510db37305f298390","Magnetars: the physics behind observations. A review","[{authorid=7607051, name=R. Turolla}, {authorid=143705653, name=S. Zane}, {authorid=88728142, name=A. Watts}]","Reports on progress in physics. Physical Society",,"2015","450","279","12","true","[{category=Physics, source=s2-fos-model}, {category=Physics, source=external}, {category=Medicine, source=external}]","[JournalArticle, Review]","2015-07-10","{name=Reports on Progress in Physics, pages=null, volume=78}","15317167"
"9178306","{acl=null, dblp=null, arxiv=null, mag=2072103265, corpusid=9178306, pubmed=20806061, doi=10.1371/journal.pone.0011881, pubmedcentral=2929187}","https://www.semanticscholar.org/paper/2c3cff32d91d77fa0246e701e123d65ab3f6d0d9","PeakRegressor Identifies Composite Sequence Motifs Responsible for STAT1 Binding Sites and Their Potential rSNPs","[{authorid=2099242119, name=Jean-François Pessiot}, {authorid=2403522, name=H. Chiba}, {authorid=5329841, name=Hiroto Hyakkoku}, {authorid=1886765, name=Takeaki Taniguchi}, {authorid=2362479, name=W. Fujibuchi}]","PLoS ONE","0aed7a40-85f3-4c66-9e1b-c1556c57001b","2010","14","1","0","true","[{category=Biology, source=s2-fos-model}, {category=Computer Science, source=s2-fos-model}, {category=Biology, source=external}, {category=Medicine, source=external}]","[JournalArticle]","2010-08-27","{name=PLoS ONE, pages=null, volume=5}","9178306"
"25082083","{acl=null, dblp=null, arxiv=null, mag=2147181026, corpusid=25082083, pubmed=23197867, doi=10.5966/sctm.2012-0032, pubmedcentral=null}","https://www.semanticscholar.org/paper/72d0d45eeb9dfe53df51130921fbd471d09bf049","1α,25‐Dihydroxyvitamin D3 Modulates the Hair‐Inductive Capacity of Dermal Papilla Cells: Therapeutic Potential for Hair Regeneration","[{authorid=31701338, name=N. Aoi}, {authorid=3155510, name=Keita Inoue}, {authorid=3916782, name=T. Chikanishi}, {authorid=1873000, name=R. Fujiki}, {authorid=49658866, name=Hanako Yamamoto}, {authorid=6703505, name=H. Kato}, {authorid=32638796, name=Hitomi Eto}, {authorid=2054173669, name=Kentaro Doi}, {authorid=3782808, name=S. Itami}, {authorid=2568535, name=S. Kato}, {authorid=1981970, name=K. Yoshimura}]","Stem Cells Translational Medicine","351a7b45-82ea-4831-b5df-6cdc27f512d6","2012","62","35","1","true","[{category=Medicine, source=s2-fos-model}, {category=Medicine, source=external}, {category=Biology, source=external}]","[JournalArticle]","2012-08-01","{name=STEM CELLS Translational Medicine, pages=null, volume=1}","25082083"
